id,Z_1,food_exp,cal_int
264,1,185.5299027,609.3359132
265,0,100.7851589,611.8322998
266,0,122.8225864,640.007216
267,1,150.7791698,605.8892441
268,1,150.4846065,605.0120483
269,0,102.2741678,600.2178203
270,0,109.6383881,604.4067713
271,0,484.792837,620.2563444
272,1,150.1026037,606.683108
273,1,150.6679475,613.1486184
274,1,160.7091324,615.5656015
275,0,102.1203146,613.0688665
276,1,150.662221,611.4812255
277,0,100.0569097,600.6196703
278,1,150.5416972,617.9581562
279,0,100.6660047,600.2834967
280,0,100.835345,602.3901883
281,1,184.706672,605.2798687
282,0,100.3619433,603.3021083
283,1,150.0312008,608.498952
284,0,102.9806839,600.7680109
285,1,150.781689,606.0706563
286,1,150.6379074,607.9573379
287,0,104.0481094,600.059151
288,1,150.0016704,617.8291157
289,1,150.295807,606.9604729
290,0,100.7134849,603.9407521
291,1,153.7872461,605.6547165
292,0,100.563147,600.0091308
293,1,150.1095576,611.4932812
294,1,152.269695,605.5219151
295,1,151.0437099,609.6910275
296,0,101.275277,767.3090003
297,0,112.7362844,600.0556284
298,1,150.3033448,634.4399771
299,0,100.0640403,600.3989956
300,0,100.0598432,600.8643512
301,1,150.1051201,605.2643331
302,1,150.047225,605.2875809
303,0,100.8973705,600.0563965
304,1,203.7376357,606.3710849
305,0,100.8033843,603.2614104
306,0,105.5285284,600.6273109
307,0,100.0884152,600.0174535
308,1,150.6140871,605.3653507
309,1,153.4743552,607.8067595
310,1,150.4579888,605.1650019
311,0,105.6270072,600.2287414
312,1,154.6039021,605.0537148
313,0,100.2485762,604.3869824
314,0,100.1829927,600.1879466
315,0,278.9664311,3351.342128
316,0,100.6546801,612.5861694
317,1,151.0146691,605.6603612
318,1,150.8869193,606.0060595
319,1,150.286489,605.1664176
320,0,100.1301136,602.0205001
321,0,100.0821986,601.0183715
322,1,157.4686716,605.0132435
323,1,150.1142532,605.0099649
324,0,104.3425768,604.4951884
325,1,172.0764201,605.0030432
326,1,162.7701921,605.3864394
327,1,150.7369339,667.6718417
328,1,150.3052854,605.0156523
329,1,150.093148,607.0892897
330,1,150.9599859,655.6405986
331,1,150.5994429,608.5961623
332,0,101.4103611,624.8972163
333,0,100.2647891,600.0890296
334,1,153.9903433,609.8596839
335,0,104.81229,601.5804295
336,0,110.6648088,629.2327686
337,0,241.0990517,1101.858987
338,0,101.5455183,601.3319636
339,0,100.2819003,615.4769359
340,1,150.8435755,605.3653956
341,1,150.027836,605.4075163
342,1,151.3308674,605.2510833
343,0,100.3920049,600.0338205
344,0,102.4429977,601.2012313
345,0,100.5535615,600.9071284
346,1,150.0479227,611.077994
347,0,101.0838108,600.5843253
348,0,100.0509384,600.1013716
349,0,107.1951963,600.7253534
350,1,150.0178707,704.53668
351,1,150.7318869,608.0843105
352,1,152.7389097,606.9877119
353,0,100.0353252,614.0263969
354,0,121.7132287,688.2466467
355,1,150.1425951,677.0275036
356,1,150.3282674,605.3400807
357,0,101.4323703,600.8202122
358,0,100.4762957,600.4033048
359,0,100.102377,600.6050306
360,0,102.4609401,603.0901042
361,0,100.3155962,600.3012379
362,1,153.0474367,605.0542684
363,0,100.3294304,600.5502625
364,0,100.1217299,637.5092148
365,0,100.8120482,702.7382694
366,1,154.1735479,605.3649194
367,1,151.7042207,612.9044097
368,1,150.8783984,605.7240917
369,1,150.0137716,605.7379957
370,1,174.3656899,605.1853178
371,0,100.9158824,600.0193302
372,0,100.1494498,690.4856243
373,0,100.641646,607.4097154
374,1,151.776708,605.0113259
375,1,150.0354237,605.4195608
376,0,104.8456383,648.7053959
377,1,151.7212177,606.3050378
378,0,114.0987692,601.6181318
379,0,108.7520363,608.3567527
380,0,100.3062145,611.8970031
381,0,100.3400638,604.8016304
382,1,150.1119016,607.8236735
383,1,150.4512443,644.9387752
384,0,107.9851262,671.7853334
385,1,201.5656331,606.7698574
386,1,157.7098649,605.5943469
387,1,150.017848,606.0308301
388,0,106.0990428,602.3972126
389,0,109.77464,600.1837624
390,0,103.88967,604.9801335
391,1,150.1524609,605.0398117
392,0,110.4012204,861.1691123
393,1,154.9771588,605.0020122
394,0,104.296688,601.5404671
395,1,150.432101,605.8630692
396,0,106.4299188,603.9299659
397,1,151.278263,605.3583719
398,1,150.8614876,1010.861878
399,0,126.3538879,600.6972911
400,0,105.2903872,601.0602356
401,1,150.0017947,621.6149826
402,0,100.3912559,605.7226743
403,0,100.0379193,601.5718742
404,1,153.6522434,605.6544193
405,1,150.3776759,605.5563709
406,1,157.2635636,605.0337989
407,0,102.7988884,604.8302112
408,0,101.0496835,603.0592671
409,0,100.829247,600.0735268
410,1,150.4516771,605.6261196
411,0,101.5510224,624.983789
412,1,150.0873214,629.1728967
413,0,104.3935913,600.0472216
414,0,100.4201893,607.4265006
415,1,150.1946157,606.373108
416,1,150.4879952,607.6413421
417,1,211.82275,605.1129861
418,1,150.0209085,605.5958791
419,1,150.4641748,605.0058225
420,1,151.2642718,605.1575822
421,1,150.3064044,605.4646108
422,0,100.404626,626.0116388
423,1,152.3190702,605.0708883
424,0,101.6315508,602.1261237
425,1,150.2271238,606.2522388
426,0,103.484597,600.0330914
427,1,151.4841824,607.026499
428,1,154.5265128,657.0262618
429,1,150.0539348,615.4866248
430,1,150.1846273,621.9213406
431,0,100.6544595,600.5861147
432,1,158.2475207,615.9637816
433,0,100.3122756,600.0026664
434,1,150.1030695,605.0435805
435,0,105.4621369,600.645894
436,0,102.7837103,601.3116409
437,0,100.0674427,603.6411557
438,0,190.2595969,606.0744167
439,1,177.0336879,605.3166812
440,1,150.0470903,605.2999832
441,0,214.1402802,600.4176179
442,1,150.0222802,605.2455107
443,1,151.2516885,605.7321596
444,1,150.0812021,613.9699564
445,0,100.4363023,603.1847293
446,0,100.4642553,600.3333997
447,1,152.0346975,605.1770996
448,0,100.0842854,600.7701793
449,0,100.0023216,600.5945207
450,0,100.8099487,621.0788682
451,0,100.1934493,600.0034269
452,0,101.5899763,600.0877177
453,1,150.1546298,609.7255107
454,0,105.714361,605.2404333
455,0,101.0663188,600.1964248
456,0,103.7714277,600.5934261
457,1,150.1120435,694.3247958
458,0,100.6281782,600.0641234
459,1,152.1315436,690.1449612
460,0,100.8214923,602.2086048
461,1,188.0492901,618.7899636
462,0,100.0133212,600.2682859
463,1,155.2776247,605.0607778
464,0,101.0322295,602.7064796
465,1,158.0090357,607.8670024
466,0,100.8046252,600.345458
467,0,100.0024116,600.1116398
468,1,152.5210434,630.790121
469,0,100.6185147,600.0353673
470,1,150.1134286,640.6270818
471,0,100.2359273,600.2261102
472,1,151.1302737,605.0090344
473,0,320.2007386,832.9393407
474,1,151.5128297,607.5778177
475,1,150.1158647,605.0690253
476,0,165.8871235,600.3914637
477,0,100.3810809,600.1371069
478,1,150.1611536,607.1985701
479,1,150.0643184,606.3977286
480,1,150.2270965,605.0449871
481,0,170.6238553,601.8987606
482,0,107.3480514,600.1854119
483,0,105.0549042,604.8698756
484,1,151.3806794,609.5082641
485,0,101.8642629,600.9184349
486,0,103.6561431,600.1388632
487,1,151.6078033,605.3084829
488,0,101.406518,600.0794963
489,1,158.1532661,613.0356121
490,0,100.6942828,629.5197315
491,0,101.7524385,601.1333545
492,1,150.1388392,607.321473
493,0,132.6137582,600.5930378
494,0,121.4145154,601.7265928
495,1,150.0185559,713.1682646
496,0,100.6213236,601.9238041
497,0,103.3524229,628.127178
498,0,102.8922065,601.857751
499,0,105.3327508,600.0320819
500,1,150.3751431,605.0509786
501,0,100.0705288,600.0876375
502,1,151.9410457,605.7795192
503,0,100.0338397,600.7581777
504,0,104.0463514,619.6973969
505,0,104.6949802,600.0159274
506,1,150.0151018,605.0732331
507,1,157.890245,605.0128991
508,0,100.6102524,603.6067314
509,0,100.2270927,600.3279507
510,1,152.6664083,605.0100721
511,1,166.7325786,605.1287839
512,1,181.2896163,605.083074
513,1,150.0712756,607.1028116
514,1,150.3817731,609.0290928
515,1,151.379939,605.0414469
516,0,101.1563193,612.9705516
517,1,150.3756568,608.2108331
518,0,100.0057841,601.7946245
519,0,100.5420261,601.936931
520,1,150.074276,607.9477725
521,1,151.0755967,616.3936409
522,0,100.1583453,600.2663391
523,1,150.7720203,606.1212243
524,1,150.1956653,1687.17538
525,1,150.4072356,605.0658747
526,1,150.4355718,607.0929487
527,0,118.5859658,600.0274631
528,1,154.8363479,606.7035319
529,1,150.5998737,616.4432677
530,1,150.0673603,605.0027846
531,0,110.0200071,600.2319358
532,0,100.0424217,879.9708173
533,1,150.0741673,605.1444167
534,0,100.1812912,600.0284624
535,0,100.117762,603.1398451
536,0,100.1369627,600.1640634
537,1,166.9768166,645.8277326
538,0,100.7916684,614.9561436
539,1,150.2070249,612.3845953
540,1,154.3832429,605.0283525
541,1,151.5446448,607.4547123
542,1,150.0682749,607.5936247
543,1,150.2910899,605.0054691
544,0,103.2355916,604.8046527
545,0,173.0171264,602.1202481
546,0,132.4686531,600.0709349
547,1,156.3162934,605.593556
548,0,100.9716562,767.324171
549,1,150.0224436,612.1010538
550,0,100.2003123,600.0410455
551,1,150.622563,606.2558467
552,0,102.9401326,678.8157828
553,0,101.1395866,601.0845124
554,1,151.1368787,605.2784319
555,1,207.0768631,623.3937898
556,0,102.3462821,600.3124867
557,1,150.5394465,605.5618192
558,1,150.3895594,613.4953834
559,0,101.2333263,685.4439692
560,0,100.1670722,600.1270269
561,0,120.2877686,600.5642827
562,1,150.5312199,605.8414798
563,1,150.3126049,614.3495447
564,0,100.1465149,647.0408054
565,1,157.8378515,673.5639064
566,1,150.0602057,605.5666337
567,1,150.356569,615.2576873
568,1,151.9888087,605.1125895
569,0,100.7879591,600.2606561
570,1,151.7362696,605.0501689
571,1,150.0552644,605.0638614
572,0,100.3882266,604.384387
573,1,150.0235403,611.2606338
574,0,100.1568129,601.7214964
575,0,112.5052844,600.148743
576,1,151.7440838,607.1006731
577,0,101.2063893,600.0491694
578,1,150.1282239,605.012408
579,1,150.2937568,605.2845471
580,1,150.1068836,605.3568929
581,1,151.1249691,605.0930731
582,1,155.3832589,605.0066685
583,0,101.9313681,600.34588
584,0,100.2569806,603.7877045
585,0,103.3741117,607.1380403
586,0,102.3476121,653.981172
587,1,156.3921078,606.1100809
588,0,100.3793179,896.2452402
589,1,150.0746755,608.1010803
590,1,150.8302305,605.6755376
591,1,151.9466519,605.0080262
592,1,180.8768344,1040.290463
593,1,150.8579087,639.0133081
594,1,152.5586677,609.8755477
595,1,150.8326191,621.3812503
596,0,214.9014759,613.6117253
597,1,168.9827321,613.5678752
598,1,150.5998535,615.5337905
599,1,150.7555654,619.2296663
600,1,150.9534122,605.1781264
601,0,101.282946,600.511021
602,1,150.2884568,606.3415223
603,1,151.1942768,605.117771
604,0,100.2163848,829.9854045
605,1,150.0896677,605.0364751
606,1,155.8694987,606.4268807
607,1,154.2402281,605.1371593
608,0,100.2866001,601.249895
609,1,166.4467658,606.5258039
610,1,150.6546879,605.8861128
611,0,100.5357629,600.0004365
612,1,150.122692,605.0019486
613,1,150.9478382,611.0590361
614,0,100.7398046,600.107486
615,1,151.1601397,606.274495
616,1,152.6627792,612.3896077
617,0,107.3486811,600.6565594
618,0,102.0550563,600.1676006
619,0,108.8785262,600.5675002
620,0,110.4216072,655.7764824
621,0,100.0015852,649.4070846
622,0,100.4501825,729.6400683
623,1,153.5038122,647.6104715
624,1,150.0851622,605.0186298
625,1,150.1208227,605.0096692
626,1,151.8261688,606.1770605
627,1,150.3786544,605.6412716
628,0,100.0221643,600.0248634
629,1,157.3366377,605.0068348
630,0,100.1572612,622.6192301
631,0,102.3395656,665.1009693
632,0,102.4777385,601.9344208
633,0,128.4114154,601.5324494
634,0,101.541015,600.7369292
635,0,104.3247,600.2905242
636,1,162.2963246,605.0309205
637,0,100.4090007,600.5991455
638,0,100.0261937,600.072644
639,1,151.3695005,606.6110179
640,0,118.4859591,605.8658368
641,0,100.0453289,600.4832787
642,1,159.2691303,645.8534579
643,0,100.8760888,665.8950212
644,0,101.2446559,622.054697
645,1,150.4638064,605.0293049
646,0,109.7872177,600.0211871
647,0,122.9460143,601.212108
648,0,131.6857591,601.4855822
649,0,100.1190417,605.3849665
650,0,105.3144464,600.0253756
651,1,150.4370895,605.5026292
652,1,150.1149221,607.4095292
653,0,102.3578949,600.0155743
654,0,100.9612781,601.5957285
655,0,105.7075744,716.4042143
656,1,201.5872901,605.0224393
657,1,159.7842813,632.8356224
658,1,150.2164256,618.85992
659,1,151.3595719,618.9824669
660,1,172.4017725,640.8203945
661,0,113.2468887,601.0529729
662,1,150.0306072,606.6542326
663,1,158.0216635,605.0842066
664,1,150.4727772,608.6553763
665,1,150.2526379,629.1827529
666,1,150.0886867,606.6167991
667,0,100.5036116,618.8766161
668,0,104.5496227,622.3311447
669,0,123.5140504,600.0396179
670,1,151.3574333,607.3278096
671,0,100.8515345,600.3048664
672,1,150.6407352,605.6604156
673,0,108.1527765,600.659699
674,0,100.0926779,600.0603315
675,0,101.7333243,610.5104165
676,0,109.4646931,600.1019583
677,1,160.3405527,608.3692168
678,0,102.5031613,600.0112432
679,0,100.0775211,600.3967283
680,0,100.1642466,600.5935099
681,0,100.2049326,600.1915169
682,1,150.0417858,605.6430771
683,0,101.092037,613.3234938
684,1,164.7387887,609.3205462
685,0,100.0045953,600.1376382
686,0,105.3039581,600.5878102
687,0,100.6402762,600.7853728
688,0,100.1841335,600.3883392
689,0,105.4413075,600.7192761
690,0,104.1638801,600.4801237
691,1,151.2357502,814.2862052
692,0,100.1322296,602.0644625
693,0,100.2121003,603.931555
694,0,100.0284982,600.2351667
695,1,212.6752478,606.8319179
696,0,100.7101297,602.0526834
697,0,100.1901522,602.6911198
698,1,150.0086163,606.582572
699,1,150.3887512,747.1611961
700,1,150.29877,605.0073215
701,1,150.0457257,608.9032933
702,0,289.5661445,603.759442
703,0,106.8242167,600.1682359
704,1,150.0340998,606.1593092
705,0,112.1186496,600.1025564
706,0,109.96071,600.1555665
707,0,103.6606016,600.0039696
708,1,152.4061506,628.9298977
709,0,101.3755975,600.2546259
710,0,103.9045974,604.5382918
711,0,100.1031303,600.5032457
712,0,100.2396481,757.5280734
713,0,100.1103149,601.8315348
714,1,150.6942396,861.4935703
715,1,151.3807735,606.5076744
716,1,153.7603963,642.6163895
717,1,153.2024693,606.361436
718,1,174.0595222,607.3916981
719,1,153.7213274,605.5447088
720,1,165.8615387,606.2924496
721,0,111.1827509,605.9927768
722,0,100.2740039,603.4032904
723,0,105.2219078,600.016463
724,0,102.7121225,620.9199551
725,1,151.2997762,605.155808
726,1,150.137044,615.566684
727,0,103.6457474,600.7343605
728,1,151.1505076,606.1928876
729,1,150.4581132,608.6736401
730,0,107.610209,600.1054416
731,1,158.8739127,605.8444109
732,0,106.8335246,600.1750718
733,0,100.003201,605.4905214
734,1,150.1388867,607.3060601
735,0,107.8610305,600.0285293
736,0,100.1940305,600.4578308
737,0,102.4566219,600.2240724
738,1,151.4954212,605.1904336
739,0,111.4304979,601.0143729
740,0,100.2095448,600.0106407
741,0,100.8805882,723.0137798
742,1,152.1357791,608.2872634
743,0,116.4420123,600.0079379
744,1,150.6768959,605.1018199
745,1,151.894383,607.5245184
746,0,100.0521169,600.0032366
747,0,104.0257453,600.2996744
748,0,101.5761787,600.9530268
749,0,104.0815473,623.9522706
750,0,100.4051592,666.0169445
751,1,190.7633978,632.3379136
752,0,100.7351965,640.6371979
753,1,151.3053944,605.289038
754,0,100.7925544,617.1995734
755,1,156.4357653,606.1082334
756,1,150.1844111,697.8478827
757,0,101.5577108,602.309182
758,0,103.5397394,605.5550599
759,0,100.0646008,602.6086912
760,1,151.6503401,612.7230856
761,1,150.2708028,607.6126173
762,0,123.1821765,600.3259501
763,0,104.7151265,601.309626
764,0,100.0224763,2155.500908
765,1,157.556639,605.067661
766,1,151.6145076,608.5369689
767,0,100.2908596,602.8533895
768,1,150.4573582,617.4277545
769,1,150.0608884,605.0030308
770,1,152.3387885,605.0426945
771,0,100.0271942,601.3779713
772,1,150.7344906,605.098365
773,0,102.7220529,600.3414101
774,1,151.201347,610.4606432
775,1,156.6205689,605.9224183
776,0,101.1176249,600.1417754
777,0,260.722139,600.4832682
778,1,150.1509481,680.8875019
779,1,179.5491675,659.7821797
780,0,100.0286722,600.3243763
781,1,150.0934717,652.7379573
782,0,100.1376566,604.6027622
783,1,150.0352092,614.3225456
784,1,176.2148609,605.0897624
785,0,109.7196276,600.0214113
786,0,120.4255445,627.7309525
787,1,150.2619433,605.1598709
788,0,101.207212,600.2065399
789,1,161.7132008,606.7327696
790,0,110.3105283,600.0162267
791,0,103.4291105,604.3963506
792,0,101.4161255,627.5149587
793,1,150.0772135,605.7509638
794,1,151.9764645,605.0132959
795,0,100.6752405,600.2294176
796,1,150.2369386,605.2483757
797,1,182.0579749,618.7268145
798,0,100.2137201,614.0142052
799,1,151.7063013,607.1149538
800,0,103.1120406,600.3817961
801,0,110.100051,600.6927901
802,1,152.243573,610.3911509
803,1,226.7899439,612.6062654
804,0,102.662594,680.6572052
805,1,150.3414151,605.0476678
806,1,151.2529808,607.5681407
807,0,104.3583099,601.9093619
808,1,150.0080739,605.0134588
809,1,150.810389,605.5889617
810,1,151.0956596,605.2514236
811,0,100.5916016,600.0539484
812,1,151.119644,606.8669266
813,1,150.0125007,605.0025261
814,0,102.1419568,614.6048402
815,0,101.0066868,641.9575806
816,1,150.3384623,627.8381345
817,1,150.0018331,614.8116823
818,0,100.4046762,601.8575305
819,1,151.2970063,606.4943211
820,1,150.8550856,605.7527726
821,1,150.2620724,605.1493513
822,1,152.0291554,606.6826467
823,0,100.1349195,606.5428712
824,0,104.6572181,600.0379583
825,1,156.1509788,605.5350458
826,1,158.2202079,605.4285258
827,0,105.7977029,602.1350579
828,0,100.4608513,600.1157696
829,1,150.9465959,616.0264944
830,0,115.4740034,600.285318
831,1,153.8346275,628.9356563
832,1,152.1450067,605.2783634
833,0,116.6797493,620.5494631
834,0,100.2518149,600.4314402
835,1,151.0571527,610.0418902
836,0,117.5195921,602.0003621
837,0,100.5772168,600.7960215
838,0,101.3458104,641.9756503
839,1,150.7242048,606.5845567
840,0,115.0992837,602.8975908
841,0,101.3470771,600.7007894
842,0,101.1594302,600.3622901
843,0,100.223423,849.9143603
844,0,100.3982726,600.5896097
845,0,100.0316736,601.4326286
846,0,102.4622865,602.2895121
847,1,156.4570143,606.5440905
848,0,100.0527472,635.6001576
849,1,152.4180959,605.0537995
850,1,152.0619641,605.4193732
851,1,151.5368059,605.0582428
852,1,151.1702504,605.1771113
853,1,186.4832472,608.4337174
854,1,152.0805152,613.26892
855,0,121.8453431,1835.90977
856,0,102.6972627,603.5113132
857,1,152.921543,605.4787748
858,0,100.3050064,600.0811345
859,1,522.4103414,607.7535605
860,0,100.8766957,610.1684443
861,0,100.3347247,600.3429935
862,0,102.3194213,601.9508901
863,1,152.4600862,606.8428415
864,0,104.9147507,600.367439
865,0,100.1336095,607.0305663
866,1,150.7394806,605.0280274
867,0,131.9267818,757.5130786
868,1,150.3456188,606.1447789
869,1,150.45675,607.9053216
870,0,103.828561,601.3081731
871,0,100.2636119,600.0363732
872,1,162.1329684,609.3774913
873,1,152.5330655,605.7506457
874,1,151.2177554,605.0776663
875,0,100.030144,602.6045478
876,1,150.4659078,605.0076477
877,0,187.8342193,646.4952693
878,0,100.5331293,600.105262
879,1,154.2191485,605.7344613
880,1,150.1307531,707.5554777
881,1,150.0302111,605.0267687
882,1,154.7620423,671.3444053
883,0,124.2524817,607.5218769
