Z_3,cal_int,prod
0,987.55701,298.98688
0,1372.7391,552.01611
1,1623.1417,612.85706
1,1078.2496,439.24435
0,1221.5162,520.49042
1,1938.6406,828.96417
1,1136.1479,420.35849
0,1489.4657,600.12762
1,1581.3468,649.14569
0,2071.3145,984.72296
1,1095.756,435.07205
1,1707.3131,608.66089
0,1381.3827,659.55438
1,1783.5536,746.46979
0,1020.9146,406.11304
1,1007.6641,316.98938
1,1294.5588,548.32538
0,1866.6293,691.98358
0,1171.0664,538.20148
1,916.72827,453.55582
0,2100.2068,921.10437
0,781.75897,256.0665
0,1749.95,730.33179
1,1776.3953,700.13544
1,1248.1727,577.43835
0,1909.1488,876.25073
1,1669.9106,605.64172
1,1553.6326,662.60297
1,1690.5353,712.52179
0,1902.3354,846.71838
1,1331.1494,627.97791
1,1457.2246,681.07025
1,1008.3401,312.04547
1,1342.8483,495.55768
0,1709.5934,671.95776
1,1859.9398,799.95923
1,1703.3754,636.57239
0,2096.4802,951.66254
1,1274.2843,532.93451
1,1363.8175,651.43066
0,1733.8092,813.9491
1,1826.6914,780.00665
1,2125.0229,910.40643
1,1981.3745,848.39124
1,1634.9338,663.64301
0,1148.7863,408.49921
1,1195.0389,447.97736
1,2045.0939,869.53955
0,1771.9762,793.51654
1,951.02002,329.28207
1,2010.4431,883.17609
0,1310.5231,477.43112
0,1611.7848,637.66455
1,2133.2827,880.62854
0,1538.3936,700.38727
1,974.98816,348.19284
0,2071.8787,966.21155
1,1114.5394,506.13934
0,2073.3123,939.88861
0,1995.9514,952.25208
1,2094.47,821.87799
1,979.05066,443.5545
1,1054.4374,357.30988
1,1362.5411,582.17407
0,1168.5677,521.33093
1,1501.7126,743.57727
0,1022.1514,409.47842
1,1899.9971,833.97681
1,1130.6724,545.28162
0,1718.1213,844.13
1,1453.9098,586.94379
1,1445.3435,494.79852
1,1796.9266,686.56281
0,828.9967,284.01859
1,1939.1578,872.40228
0,966.10541,347.1777
0,2098.7393,863.84546
0,1638.4728,783.1593
1,2078.21,840.37958
1,921.52264,298.80618
1,889.34692,411.78659
1,1654.3832,789.21204
1,2075.1335,966.59888
0,882.21454,321.49985
1,1918.7736,748.93042
0,1285.6996,566.36981
1,1349.1139,538.05316
1,1292.0756,463.34668
0,1867.6124,882.21655
1,1720.9742,751.53339
1,1337.2689,459.27744
0,1973.802,800.93463
1,1021.7911,405.11221
1,865.68896,262.61566
0,1663.479,692.22058
0,1017.543,483.53555
0,1573.1528,591.65295
1,2030.4492,857.1286
0,1837.5037,788.91913
0,1978.6145,965.35632
0,994.79211,444.66739
0,1022.0269,419.34201
0,1990.8403,985.07037
1,2106.1887,815.02612
1,1964.2108,733.97711
1,1628.3657,691.66296
1,1794.3177,848.52728
1,1512.1652,568.42346
1,1313.0944,552.82324
1,1373.1755,550.55603
1,2077.7837,903.08673
1,1481.521,689.14655
0,1375.3048,616.44928
1,1096.5233,346.30188
1,2061.8755,841.33295
1,1899.6913,1012.4953
0,1012.78,402.13019
0,1543.4648,800.16901
0,1929.7278,879.07605
0,1270.9221,563.18097
0,1318.9418,671.40039
1,1257.7717,412.25626
0,1165.9602,526.74524
1,1132.4841,441.70053
0,1663.5211,776.60687
1,1492.0435,623.65137
1,1698.9106,733.41003
0,1286.9617,493.37607
1,1153.2007,414.83899
1,882.49994,184.25644
1,1157.0609,459.98169
1,1406.6366,615.97266
0,880.92719,345.02954
1,2120.8391,888.13373
1,1065.1581,401.89801
1,1498.9242,733.57153
1,1091.1287,578.77106
0,1765.8932,814.61981
0,823.99841,348.77362
0,1500.1091,700.76776
0,1616.8652,629.52814
1,1117.2548,427.98865
1,1741.2717,734.09167
1,1977.2648,775.27728
0,1688.7312,753.72559
0,1428.7698,507.12793
0,1861.0658,769.72906
0,1839.5426,845.02802
0,1806.5239,762.11371
0,1137.6885,492.20053
1,2118.3354,984.95959
0,1079.7375,442.89026
1,1866.302,824.78925
1,1825.5347,644.43237
0,1675.9952,740.52808
0,2025.7249,871.66876
0,992.26495,485.2807
0,1736.8879,761.81555
1,1030.8361,330.4324
1,1095.4138,502.7662
0,1843.3003,858.13129
0,1313.214,499.42368
1,2168.1648,969.45532
1,1781.391,891.20685
1,969.18982,276.6333
1,1588.9086,691.82635
0,1362.5891,639.19885
0,810.1358,275.0137
1,2144.8132,905.9422
1,1338.9633,512.24487
0,1992.3557,875.29181
1,2066.2271,811.03271
1,1879.2642,779.85822
1,1006.8276,458.83835
0,1025.1891,330.81384
1,1695.3649,713.95667
1,981.01086,390.41284
0,907.85632,402.30133
1,1575.5491,778.17535
0,1463.3234,599.31812
1,1717.9563,666.65149
1,1552.8016,725.28333
0,1075.663,476.50333
1,1677.6921,792.20264
1,1734.9962,842.45959
0,1266.7032,441.11383
1,1757.4097,690.99982
1,1177.7413,519.75061
1,1195.9886,466.9939
1,1916.918,731.04211
0,2009.9119,911.45483
1,1379.6884,578.04773
1,2067.7471,958.26514
0,952.95306,518.59344
0,880.22369,421.40363
0,1082.0658,518.88336
1,880.48035,374.2627
1,2069.8093,886.08649
1,1762.8602,788.25195
0,1457.7737,595.38745
0,1018.2239,437.33844
0,2057.2148,851.41302
0,1414.0699,546.60205
1,1954.0184,786.98743
0,878.22882,240.86284
1,1615.5802,701.73938
0,1772.5206,671.55682
1,1084.7428,409.9863
1,2185.6995,943.56354
1,1336.5793,525.03961
0,1284.1628,590.16791
1,989.74432,414.22382
1,1580.6338,780.16266
0,764.76147,274.80194
0,1843.2527,757.81152
0,856.23944,390.30087
1,912.75983,327.19632
1,1049.7783,537.12579
1,1626.7449,783.89154
1,2054.8333,921.76837
1,1419.248,650.68109
1,2093.061,1030.9327
0,917.55133,292.56839
1,1979.4152,851.53687
1,1685.751,733.29596
1,2020.443,802.54602
0,1607.8422,642.43604
0,1563.8287,623.96985
0,1771.2897,826.87311
1,1765.3965,807.04449
0,2046.7513,891.1405
0,1579.8262,632.11456
1,1994.8552,792.63354
0,1155.8802,485.58701
1,863.07513,340.13934
0,1127.6531,499.22641
1,1967.5278,902.80353
0,1297.2604,542.46448
0,1706.8519,734.36877
0,1753.7429,658.18341
1,1719.2605,699.42981
1,975.52081,316.12521
0,840.30756,452.74323
1,1394.296,604.18732
0,1622.9724,778.61395
1,1847.7173,792.61151
1,2093.2312,902.12939
0,1527.7325,652.59857
0,1724.4166,810.55432
0,1665.7509,799.25256
0,763.72815,298.52777
0,1380.8274,534.31531
1,1418.1505,571.45386
0,1861.1709,846.18182
0,1326.8148,491.73529
1,1485.9814,625.50421
0,823.39471,341.83282
0,2049.5115,910.71564
1,914.25311,301.7012
0,1688.3232,772.68683
1,1760.6526,745.45776
1,1831.8354,856.77399
1,909.40027,420.1431
0,1469.7102,601.47949
0,1220.9719,502.86923
0,1525.9592,627.31024
0,1405.2709,668.82214
0,885.36676,471.18835
1,1607.8738,605.82397
0,1548.1143,684.68414
0,2081.4644,882.72577
0,1975.8145,846.9043
0,1827.7786,913.16852
1,1738.7639,802.74152
0,1509.7319,816.69281
0,775.96704,283.20782
1,1148.2507,459.7648
1,1436.6538,635.15961
0,1189.2242,460.91089
0,934.74249,385.69046
1,1166.0958,525.29669
1,2140.7681,897.19196
1,1060.1205,290.32681
1,870.56244,373.81674
0,1180.4874,577.65381
1,1275.8063,521.89636
0,991.84857,277.60858
0,955.29413,370.4451
0,1071.8755,489.46976
0,1771.3407,920.63965
0,1236.8545,435.49619
0,907.4422,400.26166
1,1023.5364,366.26236
0,1609.8262,723.79034
0,760.16101,277.70148
1,1757.2936,704.45111
1,946.12518,440.95456
1,2140.0259,897.57886
1,1278.1177,385.43549
0,1663.8563,638.9397
0,1202.0116,431.53424
1,2126.9526,861.70929
1,2164.3955,929.00732
1,1024.4279,476.64114
0,861.18182,368.27197
1,1032.6501,450.8891
1,1235.4344,526.44238
1,953.10229,405.27594
0,1756.1464,799.16925
1,1328.6653,616.73456
0,1051.0563,542.17041
0,1535.146,670.78522
0,2088.8845,838.02008
1,1263.2899,534.13245
1,1658.9382,689.27344
1,1423.4556,547.56732
1,1948.4471,878.39203
1,1773.0786,843.97278
0,1674.7341,712.39972
1,1281.8851,577.84607
0,1578.9412,664.0849
1,1324.7706,542.35748
0,1272.0505,511.91098
0,1856.0436,821.97754
1,1421.8473,657.44629
0,950.81708,357.14752
1,1152.989,401.66806
1,1596.4507,722.55408
0,1565.3394,779.44385
0,1963.9048,935.745
0,1918.5206,742.49799
1,1285.9885,643.89807
0,1313.1831,524.22913
0,1523.748,769.07196
1,1261.0548,598.49689
1,925.573,371.13177
1,2020.1876,914.07635
1,2185.5178,982.26172
1,2157.1389,881.1394
1,1663.8391,716.72949
0,1847.5166,827.65521
1,1699.3683,746.76434
1,2129.177,906.17883
1,1780.2838,787.02948
1,1893.616,732.95844
1,1612.2078,648.94604
0,2074.0273,924.32715
0,1883.1998,892.2912
1,1881.8982,844.65381
0,1243.5856,647.30786
0,1488.0687,758.04871
1,895.12012,315.25986
0,1285.6979,553.21906
1,1378.8333,635.34357
1,1581.6683,718.10254
1,2104.4797,958.74707
0,1176.5875,511.87854
0,1797.5186,771.5379
0,1115.9156,476.84979
1,1877.7173,822.72321
0,1472.2878,642.92316
1,974.70917,304.61813
1,1687.3789,617.99609
1,1450.4882,535.38147
1,1835.0286,762.23181
0,2050.7393,847.49799
1,1041.0295,317.46628
0,1074.9386,484.94763
0,1333.4558,673.612
0,1824.4204,762.84906
0,1344.693,657.14471
0,1935.8501,826.5882
1,1091.0729,422.21051
0,1024.608,465.00159
1,1770.6223,728.33966
0,2051.3057,873.86078
0,817.29205,221.29189
0,865.54279,333.45242
0,1857.6681,887.61072
1,1322.7407,575.27936
1,1499.5499,622.22052
1,1425.9558,642.91669
0,1748.0775,698.3125
1,2135.6555,950.17914
1,1201.4752,519.02924
0,928.83655,459.41568
1,2087.2915,810.34167
0,1350.6169,592.12885
0,758.11664,355.15393
0,1645.9004,767.48114
0,1239.2201,469.63745
0,2030.4355,785.3714
0,1057.0494,411.6214
0,1779.4702,847.44049
1,2074.7512,962.67682
1,1891.3116,731.79352
1,2099.7551,965.41913
1,1417.313,634.94263
1,1709.8663,852.63184
1,1958.7511,748.76685
1,1203.7994,497.30887
0,2042.5737,975.11371
0,2031.6238,965.49414
1,1526.631,792.29675
1,1506.1578,622.78094
1,1042.5007,448.14142
1,1136.6974,326.12112
0,1657.1248,733.8764
0,1353.6749,701.89252
0,1895.2042,914.85199
0,1072.3971,489.54907
1,1850.781,785.65076
0,890.15326,318.39252
1,1081.8868,465.4978
0,1175.432,483.4201
0,1385.3053,606.36609
0,1973.165,890.90991
0,1647.2533,648.89581
0,974.36194,391.21341
0,763.87109,366.53381
0,1345.1566,604.71387
0,1365.0681,614.61224
0,1293.6482,515.07098
1,1552.5885,648.65576
0,1873.3335,843.64935
0,1049.5292,426.52582
0,2060.3232,895.40619
0,1352.4867,620.59552
0,2055.2251,806.90906
0,1737.9093,736.87555
1,1810.3434,695.96844
0,925.5885,397.34769
1,1276.8821,568.75183
1,2053.7515,894.52539
0,1851.8989,830.84198
0,1293.571,471.56342
0,2012.2025,976.53827
0,1042.2284,507.50977
0,1276.7205,551.54144
1,1346.2163,538.31592
0,792.51349,257.21457
0,1152.9552,542.66858
1,961.83264,363.07944
0,1790.2074,715.42395
0,1487.6349,714.22095
1,2003.1732,904.54413
1,872.57153,320.97311
0,1528.5377,673.79443
1,2129.5325,999.14008
1,1819.3401,716.06232
0,878.13928,336.39136
1,995.33063,545.83496
1,1185.2458,432.27594
0,1917.5941,967.08844
0,1421.4067,639.78082
1,1489.0684,562.38287
0,923.71771,339.91522
1,1542.86,629.4101
1,1925.8367,749.99115
1,1271.788,553.16168
0,1071.7257,472.60291
1,1519.4502,706.68201
1,920.06854,371.00235
0,1216.8506,558.34906
1,1312.8625,567.75397
0,974.05237,443.21671
0,912.11139,506.95978
1,1472.8301,666.25256
0,887.64471,381.25916
0,1151.703,479.11499
1,1114.3651,402.92712
0,875.38879,374.93054
0,1621.0436,737.41797
1,1216.9722,521.78094
0,1999.0747,781.85608
1,1371.6947,660.97675
1,1168.5217,470.82416
0,940.73004,451.56857
0,1715.0775,839.19128
1,1759.2211,724.09418
0,1098.9216,339.47409
0,1586.5251,695.13458
0,976.01898,463.94098
0,1747.396,818.70398
1,1649.2196,711.65472
0,1012.3915,488.50381
0,1901.3253,885.11481
0,1474.6906,744.20947
1,1041.4561,599.97882
0,1627.0101,589.86493
1,1390.0958,659.25372
1,1515.0012,587.92114
0,1052.4011,569.89417
1,1247.254,528.3335
0,861.29834,266.54166
0,835.97375,324.08661
0,1382.3209,641.12665
1,1505.1752,503.21506
1,1265.2521,467.58881
0,1426.9686,596.42316
1,922.65613,279.71866
1,1643.6698,728.80994
0,1006.7056,449.13266
0,949.67657,366.51572
0,1449.4178,598.39343
1,1719.6406,607.09998
0,1674.6809,773.22717
1,1287.0029,418.88904
1,1249.886,535.98792
0,1821.6554,759.29944
1,1513.7152,572.00647
0,1026.9377,413.08298
1,1877.7429,810.56488
0,1994.687,803.78473
0,978.91736,422.94287
1,1935.7106,831.54407
1,1490.1149,694.64996
1,1188.6973,476.10873
0,1522.0829,665.55194
0,1900.9066,890.6377
1,1430.8958,666.0332
0,869.09119,314.19077
1,980.24585,348.59256
1,1337.3168,510.26761
0,1350.7281,473.11145
0,1095.8845,460.31354
1,1825.4989,832.90973
1,856.08154,145.26353
0,856.51385,300.55954
1,1157.2419,490.53741
1,1557.9818,595.21948
0,1963.0796,816.04718
0,1073.724,404.79333
1,1487.8517,501.51129
0,1885.9314,871.80884
1,1640.6066,591.57947
0,783.07953,313.19287
0,1986.5778,966.242
1,1351.4581,503.11655
1,1265.8176,547.40875
0,1055.3571,456.33469
0,1654.1902,697.77075
1,1867.3107,805.41681
1,1192.4888,421.31433
1,1771.7766,897.94678
0,1457.1964,705.33374
1,1176.0299,475.07596
1,1710.1901,798.83191
0,1825.6953,753.59332
1,913.13373,395.52472
0,1855.5216,824.50409
1,1240.5854,475.61871
1,2160.9919,937.2807
0,888.63287,279.95526
0,905.36658,362.89554
0,1551.1858,675.14453
0,2094.1987,959.54218
0,1914.3593,758.06531
1,1536.3644,573.65436
0,1032.7855,528.54559
0,1010.0427,466.63834
1,1447.0826,539.20813
1,989.14221,415.40094
0,1171.2681,566.02771
0,1136.4531,485.45959
1,1900.509,730.70154
1,1295.0403,533.1347
0,1736.7996,767.76611
1,1451.5452,659.86633
1,2180.5107,1030.8574
1,1991.869,816.34082
0,1707.5509,755.33588
1,1654.5029,706.2207
0,1482.5107,619.91052
0,1711.0049,705.66754
1,1766.1672,803.57617
0,1459.6018,606.72137
0,1752.396,774.67914
1,892.50366,265.52487
1,1301.4645,549.85944
0,1111.5219,477.47571
1,1032.5713,500.32532
0,1838.6095,881.60754
1,977.35767,398.42667
1,2136.6421,884.22253
1,1527.2054,690.13916
0,1700.3667,757.52759
1,1226.8689,411.78113
0,1072.7546,408.6554
1,1632.298,738.20044
1,897.74341,335.5123
0,2094.4167,910.20996
0,915.27679,298.54794
0,2062.2449,933.77277
0,1410.3584,557.30573
1,1067.4136,355.17783
0,1310.0209,537.74609
0,1316.4075,538.24078
0,1913.1486,842.02875
0,1820.537,817.73682
1,1217.6621,503.10733
1,1468.0287,732.52393
1,1167.5038,499.29816
0,1098.0071,457.11859
1,888.9231,267.87259
0,1454.3135,607.9137
0,1320.3286,479.7973
0,1605.4777,690.61353
1,1888.6868,719.74695
0,898.24561,317.02759
0,1889.8285,731.64929
0,1009.8879,447.79596
1,2031.019,903.47949
1,1620.762,639.47137
1,1540.8978,588.55066
1,2196.1418,758.38373
1,1619.8051,575.39886
0,1274.9891,564.27441
0,830.29321,286.33249
0,1485.8262,679.33569
1,1305.0273,546.758
1,2158.3906,1013.1785
0,2001.3173,862.6756
1,1867.0583,861.95605
0,1410.2668,481.70688
1,1882.9573,776.74908
0,1201.0096,390.05869
1,2200.5425,1058.1426
1,1210.5842,483.58154
1,995.94263,339.9035
1,1099.2754,446.84686
0,1849.3402,780.7348
0,1416.7645,583.87469
1,1090.8691,454.36328
0,1114.5424,504.31363
0,1839.2369,795.92554
0,1460.7958,611.82642
1,929.16797,393.44296
1,1543.7041,543.84296
1,890.17432,352.69418
1,1762.5771,727.18433
0,1662.3451,590.55334
1,1723.02,704.21637
0,1249.276,553.71014
0,1062.5424,313.33536
1,1179.1592,396.12805
0,908.90747,306.26093
0,1578.1947,642.32208
1,1155.2275,543.79071
0,1787.3674,734.97498
0,1706.824,758.13342
0,1034.2253,386.02414
1,2082.6921,969.93079
1,1960.6904,791.40778
0,1260.5529,454.22305
0,2066.0295,965.68085
1,2018.6086,966.77502
0,1359.9132,554.36707
1,1433.9346,604.80011
0,1498.0536,614.9502
1,962.67633,399.19296
1,1879.9088,900.48047
0,1205.6567,541.66443
0,1296.0098,560.45612
0,964.33502,308.42743
1,1714.8696,693.35175
1,1019.4998,410.72574
0,1153.1238,595.25824
0,1428.168,647.37799
0,802.35803,386.94312
1,989.55237,272.34622
0,1665.5864,651.96942
0,1090.0464,560.56421
0,1730.5918,790.66785
1,1042.5959,416.66132
0,1855.5863,885.99402
1,1465.8516,574.63708
0,903.0094,209.89323
1,1081.7933,457.56427
0,1282.4253,632.7135
0,1383.8619,573.90747
0,2097.8857,824.68896
0,1488.9703,585.73383
1,1985.2765,829.07135
0,1656.0551,680.81561
0,1102.2349,407.5874
1,1396.1569,480.77737
1,1969.8182,843.46466
1,1611.9176,830.37823
1,1447.4489,571.61102
0,1864.9181,806.30865
1,1647.9301,746.6535
0,1033.9872,496.59442
1,1856.119,841.23749
0,973.10657,314.80237
1,1625.7854,685.84558
0,1107.6207,453.08102
0,987.58105,441.41663
0,1818.34,883.41632
1,1748.6277,795.89856
0,795.74841,282.43365
0,876.96698,252.12549
0,992.02576,433.05551
1,1526.0946,703.99023
0,1865.2891,755.61584
1,1759.6173,793.76703
0,869.61206,316.48523
1,1869.2231,814.61865
1,1389.4725,535.23242
0,1032.052,535.32794
1,1643.5149,650.60535
1,1660.0925,680.34753
1,1452.1791,655.72656
1,997.66608,390.37802
1,1896.8196,700.35809
0,1385.5905,545.71124
0,990.28369,446.68225
1,1665.3224,663.23975
1,1615.1591,584.39825
1,934.09015,440.65637
0,1044.678,365.2113
0,1292.0665,486.8952
1,904.2514,338.17245
0,1166.0476,552.03607
1,1493.2306,630.5163
0,1471.8732,659.97351
1,2036.9918,952.62097
0,1129.9351,510.67545
1,1887.9441,776.26532
0,1116.6945,516.88989
0,802.20209,436.28348
1,1058.4778,483.14209
0,1754.5145,828.45789
1,1349.1162,539.21387
0,829.02899,186.60733
0,1432.9711,615.43744
1,1590.677,686.21057
1,1953.0249,929.20276
0,1493.9495,629.42804
1,1663.9427,662.34045
1,2006.854,841.55676
1,1543.6927,588.62439
0,797.10089,331.81915
1,1990.7871,866.52258
1,2127.552,1027.1072
